output_id,output_parameter,Shortened name,Description,Type,Min,Max,,,,,
78,TyreSlip_RR,TyreSlip_RR,Unsure,,,,,,,,
79,DY_FL,DY_FL,Unsure,,,,,,,,
80,DY_FR,DY_FR,Unsure,,,,,,,,
81,DY_RL,DY_RL,Unsure,,,,,,,,
82,DY_RR,DY_RR,Unsure,,,,,,,,
83,CurrentTyresCoreTemp_FL,CurrentTyresCoreTemp_FL,Core temperature of front left tyre,Float,0,,,,,,
84,CurrentTyresCoreTemp_FR,CurrentTyresCoreTemp_FR,Core temperature of front right tyre,Float,0,,,,,,
85,CurrentTyresCoreTemp_RL,CurrentTyresCoreTemp_RL,Core temperature of rear left tyre,Float,0,,,,,,
86,CurrentTyresCoreTemp_RR,CurrentTyresCoreTemp_RR,Core temperature of rear right tyre,Float,0,,,,,,
87,DynamicPressure_FL,DynamicPressure_FL,Pressure of front left tyre (psi),Float,0,,,,,,
88,DynamicPressure_FR,DynamicPressure_FR,Pressure of front right tyre (psi),Float,0,,,,,,
89,DynamicPressure_RL,DynamicPressure_RL,Pressure of rear left tyre (psi),Float,0,,,,,,
90,DynamicPressure_RR,DynamicPressure_RR,Pressure of rear right tyre (psi),Float,0,,,,,,
91,TyreLoadedRadius_FL,TyreLoadedRadius_FL,Radius of front left tyre under load,Float,0,,,,,,
92,TyreLoadedRadius_FR,TyreLoadedRadius_FR,Radius of front right tyre under load,Float,0,,,,,,
93,TyreLoadedRadius_RL,TyreLoadedRadius_RL,Radius of rear left tyre under load,Float,0,,,,,,
94,TyreLoadedRadius_RR,TyreLoadedRadius_RR,Radius of rear right tyre under load,Float,0,,,,,,
95,SuspensionTravel_FL,SuspensionTravel_FL,Vertical travel of suspension of front left tyre under load,Float,0,,,,,,
96,SuspensionTravel_FR,SuspensionTravel_FR,Vertical travel of suspension of front right tyre under load,Float,0,,,,,,
97,SuspensionTravel_RL,SuspensionTravel_RL,Vertical travel of suspension of rear left tyre under load,Float,0,,,,,,
98,SuspensionTravel_RR,SuspensionTravel_RR,Vertical travel of suspension of rear right tyre under load,Float,0,,,,,,
99,TyreDirtyLevel_FL,TyreDirtyLevel_FL,Quantity of dirt on front left tyre ,Float,0,10,,,,,
100,TyreDirtyLevel_FR,TyreDirtyLevel_FR,Quantity of dirt on front right tyre ,Float,0,10,,,,,
101,TyreDirtyLevel_RL,TyreDirtyLevel_RL,Quantity of dirt on rear left tyre ,Float,0,10,,,,,
102,TyreDirtyLevel_RR,TyreDirtyLevel_RR,Quantity of dirt on rear right tyre ,Float,0,10,,,,,
103,TyreContactNormal_FL_X,TyreContactNormal_FL_X,Normal vector to front left tyre's contact point (x),Float,,,,,,,
104,TyreContactNormal_FL_Y,TyreContactNormal_FL_Y,Normal vector to front left tyre's contact point (y),Float,,,,,,,
105,TyreContactNormal_FL_Z,TyreContactNormal_FL_Z,Normal vector to front left tyre's contact point (z),Float,,,,,,,
106,TyreContactNormal_FR_X,TyreContactNormal_FR_X,Normal vector to front right tyre's contact point (x),Float,,,,,,,
107,TyreContactNormal_FR_Y,TyreContactNormal_FR_Y,Normal vector to front right tyre's contact point (y),Float,,,,,,,
108,TyreContactNormal_FR_Z,TyreContactNormal_FR_Z,Normal vector to front right tyre's contact point (z),Float,,,,,,,
109,TyreContactNormal_RL_X,TyreContactNormal_RL_X,Normal vector to rear left tyre's contact point (x),Float,,,,,,,
110,TyreContactNormal_RL_Y,TyreContactNormal_RL_Y,Normal vector to rear left tyre's contact point (y),Float,,,,,,,
111,TyreContactNormal_RL_Z,TyreContactNormal_RL_Z,Normal vector to rear left tyre's contact point (z),Float,,,,,,,
112,TyreContactNormal_RR_X,TyreContactNormal_RR_X,Normal vector to rear right tyre's contact point (x),Float,,,,,,,
113,TyreContactNormal_RR_Y,TyreContactNormal_RR_Y,Normal vector to rear right tyre's contact point (y),Float,,,,,,,
114,TyreContactNormal_RR_Z,TyreContactNormal_RR_Z,Normal vector to rear right tyre's contact point (z),Float,,,,,,,
115,TyreContactPoint_FL_X,TyreContactPoint_FL_X,Contact point of front left tyre with the ground (x),Float,,,,,,,
116,TyreContactPoint_FL_Y,TyreContactPoint_FL_Y,Contact point of front left tyre with the ground (y),Float,,,,,,,
117,TyreContactPoint_FL_Z,TyreContactPoint_FL_Z,Contact point of front left tyre with the ground (z),Float,,,,,,,
118,TyreContactPoint_FR_X,TyreContactPoint_FR_X,Contact point of front right tyre with the ground (x),Float,,,,,,,
119,TyreContactPoint_FR_Y,TyreContactPoint_FR_Y,Contact point of front right tyre with the ground (y),Float,,,,,,,
120,TyreContactPoint_FR_Z,TyreContactPoint_FR_Z,Contact point of front right tyre with the ground (z),Float,,,,,,,
121,TyreContactPoint_RL_X,TyreContactPoint_RL_X,Contact point of rear left tyre with the ground (x),Float,,,,,,,
122,TyreContactPoint_RL_Y,TyreContactPoint_RL_Y,Contact point of rear left tyre with the ground (y),Float,,,,,,,
123,TyreContactPoint_RL_Z,TyreContactPoint_RL_Z,Contact point of rear left tyre with the ground (z),Float,,,,,,,
124,TyreContactPoint_RR_X,TyreContactPoint_RR_X,Contact point of rear right tyre with the ground (x),Float,,,,,,,
125,TyreContactPoint_RR_Y,TyreContactPoint_RR_Y,Contact point of rear right tyre with the ground (y),Float,,,,,,,
126,TyreContactPoint_RR_Z,TyreContactPoint_RR_Z,Contact point of rear right tyre with the ground (z),Float,,,,,,,
127,acsys.CS.ToeInDeg,ToeInDeg,Toe in (degrees),Float,,,,,,,
128,acsys.CS.Caster,Caster,Caster angle in radians,Float, ,,,,,,
129,acsys.CS.ERSDelivery,ERSDelivery,ignore,,,,,,,,
130,acsys.CS.ERSHeatCharging,ERSHeatCharging,ignore,,,,,,,,
131,ERSCurrentKJRunningTotaledKMH,ERSCurrentKJRunningTotaledKMH,Total energy used by the engine until this timestep,Float,0,,,,,,
132,acsys.CS.ERSRecovery,ERSRecovery,ignore,,,,,,,,
